Entity_Orth	Entity_Label	Parts_of_Speech
San Juan Agency	ORG	NNP,NNP,NNP
two hundred	CARDINAL	CD,CD
the year	DATE	SP,DT,NN
two hundred and thirty	CARDINAL	CD,CD,CC,CD
two hundred and fifteen	CARDINAL	CD,CD,CC,CD
The Mesa School	ORG	DT,NNP,NNP
Shiprock	ORG	NNP
two hundred	CARDINAL	SP,CD,CD
Indian	NORP	JJ
Farmington	GPE	NNP
two	CARDINAL	CD
one	CARDINAL	CD
Dining Room Matron	WORK_OF_ART	SP,NN,NN,NNP
the Mesa School	ORG	DT,NNP,NNP
seventh	ORDINAL	JJ
eighth	ORDINAL	JJ
Juan School	PERSON	NNP,NNP
Indians	NORP	NNPS
Indians	NORP	NNPS
Indians	NORP	NNPS
4	CARDINAL	CD
1925	DATE	CD
at least one	CARDINAL	IN,JJS,CD
Physician	NORP	NNP
Trachoma	GPE	NNP
Hospital	PRODUCT	NNP
Physician	NORP	NNP
Surgeon	GPE	NNP
Indians	NORP	NNPS
Indian Medicine Men	ORG	JJ,NNP,NNPS
Indians	NORP	NNPS
5	CARDINAL	CD
Physicians	NORP	NNPS
1925	DATE	CD
San Juan	GPE	NNP,NNP
Seeps	FAC	NNP
Last spring	DATE	JJ,NN
nine	CARDINAL	CD
half	CARDINAL	NN
last season	DATE	JJ,NN
1	CARDINAL	CD
One	CARDINAL	CD
1924	DATE	CD
Service	LOC	NNP
San Juan Agency	ORG	NNP,NNP,NNP
The Public School	ORG	DT,NNP,NNP
Toadlena	GPE	NNP
Toadlena	GPE	NNP
150	CARDINAL	CD
Toadlena	GPE	NNP
200	CARDINAL	CD
September 1st 1925	DATE	NNP,NN,CD
Toadlena	GPE	NNP
ten	CARDINAL	CD
~ Sherman Institute	ORG	NNP,NNP,NNP
Phoenix	GPE	NNP
Santa Fe	GPE	NNP,NNP
Ignacio	PERSON	NNP
Theodore	PERSON	NNP
each year	DATE	DT,NN
some eight miles	QUANTITY	DT,CD,NNS
Thirty acres	QUANTITY	CD,NNS
one	CARDINAL	CD
The°school	ORG	NNP
150	CARDINAL	CD
200	CARDINAL	CD
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
M. M.	FAC	NNP,NNP
Indian	NORP	JJ
Indian	NORP	JJ
Indians	NORP	NNPS
1	CARDINAL	CD
Indians	NORP	NNPS
Trachoma	PERSON	NNP
Venereal	GPE	NNP
one	CARDINAL	CD
Phagocite	NORP	NNP
one	CARDINAL	CD
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
Indians	NORP	NNPS
	CARDINAL	SP
Carpentny	GPE	NNP
Farming	GPE	NNP
Gardning	GPE	NNP
Dairying	GPE	NNP
the Industrial Departments	ORG	DT,NNP,NNP
the day	DATE	DT,NN
Bakery	ORG	NNP
Kitchen	PERSON	NNP
Indians	NORP	NNPS
Indian	NORP	JJ
"this
year"	DATE	DT,SP,NN
W. H. HaShbarger	PERSON	NNP,NNP,NNP
Toadlena	GPE	NNP
4	CARDINAL	CD
5	CARDINAL	CD
Indians	NORP	NNPS
Indian	NORP	JJ
___~__§)_	MONEY	CD
2	CARDINAL	CD
Indians	NORP	NNPS
Fines	PERSON	NNP
Indian	NORP	JJ
Indians	NORP	NNPS
_____o.--	MONEY	CD
Fran	PERSON	NNP
three	CARDINAL	CD
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
the year	DATE	DT,NN
Indian	NORP	JJ
Sanitarium	ORG	NN
3	CARDINAL	CD
Sanitarium	ORG	NNP
Indians	NORP	NNPS
Indian	NORP	JJ
Indians	NORP	NNPS
1:3nt	CARDINAL	CD
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
One hundred and thmtty cases	CARDINAL	CD,CD,CC,JJ,NNS
Physician	ORG	NNP
One	CARDINAL	CD
two	CARDINAL	CD
ten	CARDINAL	CD
Navajo	NORP	JJ
Thysiciah	PRODUCT	NNP
Physician	NORP	NNP
Head Matron	PERSON	NNP,NNP
Clinesmith	PERSON	NNP
4	CARDINAL	CD
two	CARDINAL	CD
one	CARDINAL	CD
Indian	NORP	JJ
Navajo	NORP	JJ
Navajos	NORP	NNPS
San Juan_Agency	GPE	NNP,NNP
Navajo	NORP	NNP
The Midwest Oil 30	ORG	DT,NNP,NNP,CD
Farmington	GPE	NNP
Navajos	ORG	NNP
Mesa	ORG	NNP
Navajos	ORG	NNP
Navajo	NORP	NNP
WhiCh	ORG	NNP
Navajo	NORP	NNP
200	CARDINAL	CD
500	CARDINAL	CD
the Navajo Tribe	ORG	DT,NNP,NNP
San Juan	GPE	NNP,NNP
Indians	NORP	NNPS
12	CARDINAL	CD
1	CARDINAL	LS
2	CARDINAL	CD
13	CARDINAL	CD
13	CARDINAL	CD
768	CARDINAL	CD
half	CARDINAL	NN
half	CARDINAL	NN
San Juan	GPE	NNP,NNP
Indians	NORP	NNPS
Indians	NORP	NNPS
State	ORG	NNP
10	CARDINAL	CD
English	LANGUAGE	JJ
Indians	NORP	NNPS
English	LANGUAGE	JJ
San Juan Reservation	GPE	NNP,NNP,NNP
3	CARDINAL	CD
1	CARDINAL	LS
2	CARDINAL	CD
1	CARDINAL	CD
Headgates -...	PERSON	NNPS,HYPH,NFP
January	DATE	NNP
February ________ 5	DATE	NNP,SYM,CD
March ___________	DATE	NNP,NN
1	CARDINAL	CD
September	DATE	NNP
3'	QUANTITY	CD,''
October	DATE	NNP
1	CARDINAL	CD
November	DATE	NNP
1	CARDINAL	CD
December	DATE	NNP
2	CARDINAL	CD
Total for year	DATE	JJ,IN,NN
San Juan Agency	ORG	NNP,NNP,NNP
R R	FAC	NN,NN
San Juan Boarding School	ORG	NNP,NNP,NNP,NNP
the Academic Department	ORG	DT,NNP,NNP
Altho	PERSON	NNP
This year	DATE	DT,NN
two	CARDINAL	CD
One	CARDINAL	CD
March	DATE	NNP
5,505 feet	QUANTITY	CD,NNS
4% to 6%	PERCENT	CD,NN,TO,CD,NN
ten years	DATE	CD,NNS
second	ORDINAL	JJ
June	DATE	NNP
3% to 4%	PERCENT	CD,NN,TO,CD,NN
two	CARDINAL	CD
San Juan School	ORG	NNP,NNP,NNP
San Juan Agency	ORG	NNP,NNP,NNP
2/53	CARDINAL	CD
School	ORG	NNP
to—day	DATE	NN
a year ago	DATE	DT,NN,RB
San Juan School	ORG	NNP,NNP,NNP
101 acres	QUANTITY	SP,CD,NNS
25 acres	QUANTITY	CD,NNS
11 acres	QUANTITY	CD,NNS
79 acres	QUANTITY	CD,NNS
50 acres	QUANTITY	CD,NNS
the past two years	DATE	DT,JJ,CD,NNS
This year	DATE	DT,NN
the Mesa School	ORG	DT,NNP,NNP
4,000	CARDINAL	CD
half	CARDINAL	NN
Toadlena School	ORG	NNP,NNP
40 miles	QUANTITY	CD,NNS
Shiprock	GPE	NNP
eight miles	QUANTITY	CD,NNS
18 acres	QUANTITY	CD,NNS
three	CARDINAL	CD
100 tons	QUANTITY	CD,NNS
5	CARDINAL	CD
Indians	NORP	NNPS
the current fiscal year	DATE	DT,JJ,JJ,NN
2	CARDINAL	CD
Indians	NORP	NNPS
Indians	NORP	NNPS
- -	FAC	,,HYPH
2	CARDINAL	CD
Indian	NORP	NNP
3	CARDINAL	LS
1	CARDINAL	LS
3	CARDINAL	CD
Indians	NORP	NNPS
Juan Agency	PERSON	NNP,NNP
Navajo	NORP	NNP
"three
years"	DATE	CD,SP,NNS
Indians	NORP	NNPS
San	NORP	NNP
Sunday	DATE	NNP
ten cents	MONEY	CD,NNS
1925	DATE	CD
San Juan Agency	ORG	NNP,NNP,NNP
one hundred tons	QUANTITY	CD,CD,NNS
more than one	CARDINAL	JJR,IN,CD
four	CARDINAL	CD
Toadlena	GPE	NNP
Toadlena	GPE	NNP
three	CARDINAL	CD
all three	CARDINAL	DT,CD
year	DATE	NN
Frank I. Inloes	PERSON	NNP,NNP,NNP
"the San Juan Boarding
School"	ORG	DT,NNP,NNP,NNP,SP,NNP
follows:-	PERSON	JJ
a Public School	ORG	DT,NNP,NNP
past year	DATE	SP,JJ,NN
three	CARDINAL	CD
Indian	NORP	JJ
Indian	NORP	JJ
San Juan	GPE	NNP,NNP
one hundred and eighty	CARDINAL	CD,CD,CC,CD
419-	CARDINAL	CD
San Juan State	GPE	NNP,NNP,NNP
14-00	DATE	CD,SYM,CD
100	CARDINAL	CD
400	CARDINAL	CD
Three-fourths	CARDINAL	CD,HYPH,NNS
the current fiscal year	DATE	DT,JJ,JJ,NN
Indian	NORP	JJ
5	CARDINAL	CD
under 8 years old	DATE	IN,CD,NNS,JJ
6	CARDINAL	CD
72	DATE	CD
San Juan Agency	ORG	NNP,NNP,NNP
Indians	NORP	NNPS
Havajos	PERSON	NNP
Indians	NORP	NNPS
"James
D. Kennedy"	PERSON	NNP,SP,NNP,NNP
Havajos	PERSON	NNP
Toadlena	GPE	NNP
the year	DATE	DT,NN
the year 1924-25	DATE	DT,NN,CD,SYM,CD
66	CARDINAL	CD
51	CARDINAL	CD
150	CARDINAL	CD
Indian	NORP	JJ
year to year	DATE	NN,IN,NN
Indian	NORP	JJ
many years	DATE	JJ,NNS
zsghmxsa'wmmwxzflnmmw	CARDINAL	CD
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
9000	CARDINAL	CD
532	CARDINAL	CD
White Arsenic	ORG	NNP,NNP
162	CARDINAL	CD
Lemons	PERSON	NNP
524	CARDINAL	CD
About 150	CARDINAL	RB,CD
Indians	NORP	NNPS
Indians	NORP	NNPS
Bruce M. Barnard	PERSON	NNP,NNP,NNP
Ho	PERSON	NNP
ten-acre	QUANTITY	CD,HYPH,NN
150	CARDINAL	CD
Four hundred	CARDINAL	CD,CD
last fall	DATE	JJ,NN
Indians	NORP	NNPS
two hundred and seventy-nine	CARDINAL	SP,CD,CD,CC,CD,HYPH,CD
one third	CARDINAL	CD,NN
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
Stockman Jensen	PERSON	NNP,NNP
H. E. Pine	PERSON	NNP,NNP,NNP
Aztec	NORP	NNP
H. M. for the present	PERSON	NNP,NNP,IN,DT,JJ
Particularyy	PERSON	NNP
Jensen	PERSON	NNP
December	DATE	NNP
January	DATE	NNP
the last day	DATE	DT,JJ,NN
the year	DATE	DT,NN
years	DATE	NNS
years	DATE	NNS
San Juan School	ORG	NNP,NNP,NNP
Indians	NORP	NNPS
Hereford	GPE	NNP
five and six year old	DATE	CD,CC,CD,NN,JJ
fiscal year	DATE	JJ,NN
San Juan	GPE	NNP,NNP
Robert	PERSON	NNP
Wilmer	PERSON	NNP
Scott	PERSON	NNP
"William "" ' "" ""
Sells"	PERSON	NNP,``,'','','',SP,NNP
Marshall	PERSON	NNP
Singer	ORG	NNP
"Lawrence "" "" """	PERSON	NNP,``,'',''
Tsosi	ORG	NNP
"Mark "" "" ""
White"	PERSON	NNP,``,'','',SP,NNP
Enderson	WORK_OF_ART	SP,NNP
Atsonebah	PERSON	NNP
Bitsui	PERSON	NNP
Barberetcilly	PERSON	NNP
Kathleen	PERSON	NNP
Blyis	PERSON	NNP
Pearl	LOC	NNP
Charles	PERSON	NNP
Ethel	PERSON	NNP
Cudai	PERSON	NNP
"Laura "" - "" ""
Daholtah"	PERSON	NNP,'',:,'','',SP,NNP
"Katherine "" "" ""
Dealbenally"	PERSON	NNP,``,'','',SP,NNP
Flora	PERSON	NNP
Deschene	PERSON	NNP
"Louise "" "" ""
Dewdrop"	PERSON	NNP,``,'','',SP,NNP
"Sarah "" "" """	PERSON	NNP,``,'',''
Enospah	PERSON	NNP
"Martha "" ~ "" ""
Enospah"	PERSON	NNP,``,NNP,'',``,SP,NNP
Minnie	PERSON	NNP
Hototles	PERSON	NNP
Lenao	PERSON	NNP
Henty	PERSON	NNP
"Mary L u "" "" ""
Hobson"	PERSON	NNP,NNP,NNP,'','','',SP,NNP
Amy 0	PERSON	NNP,CD
Eva	PERSON	NNP
Hutton	PERSON	NNP
"Catherine "" ""' """	PERSON	NNP,``,``,'',''
Joe,	WORK_OF_ART	SP,NNP,,
"Maggie "" "" ""
Kedah"	PERSON	NNP,``,'','',SP,NNP
Jesse	PERSON	NNP
Larson	PERSON	NNP
"Thelma "" W """	PERSON	NNP,``,NNP,'',SP
Lonehln	PERSON	NNP
Winona	PERSON	NNP
"Mable "" W _ """	PERSON	NNP,``,NNP,'',''
Nakiyazzie	ORG	NNP
"Doris "" "" ""
Marohene"	PERSON	NNP,``,'','',SP,NNP
"Gene "" "" ""
Nakaibega"	PERSON	NNP,``,'','',SP,NNP
Dorris	PERSON	NNP
Armada	ORG	NNP
Dora	PERSON	NNP
Agnes	PERSON	NNP
Todoohene	PERSON	NNP
Lillie	PERSON	NNP
Nellie	PERSON	NNP
Wadsworth	PERSON	NNP
Margarete	PERSON	NNP
Wilson	ORG	NNP
"Janet "" "" ""
Yellowhead"	PERSON	NNP,``,'','',SP,NNP
Myra	PERSON	NNP
Yethdexbah	PERSON	NNP
Vera	PERSON	NNP
"9
Canada Mission School"	WORK_OF_ART	CD,SP,NNP,NNP,NNP
Morris Navajo	PERSON	NNP,NNP
San Juan	GPE	NNP,NNP
"Max "" "" ""
King"	PERSON	NNP,``,'','',SP,NNP
"Jerome "" "" """	PERSON	NNP,``,'','',SP
II II	FAC	NNP,NNP
9-3	TIME	CD,SYM,CD,SP
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
Navajos	NORP	NNPS
one	CARDINAL	CD
one	CARDINAL	CD
at least another	DATE	RB,RBS,DT
Indians	NORP	NNPS
Navajo	NORP	NNP
42 mileS.	PERCENT	CD,NN
San Juan Agency	ORG	NNP,NNP,NNP
Last year	DATE	JJ,NN
two	CARDINAL	CD
last year	DATE	JJ,NN
first	ORDINAL	JJ
third	ORDINAL	JJ
Observer	ORG	NNP
San Juan	GPE	NNP,NNP
two	CARDINAL	CD
two	CARDINAL	CD
second	ORDINAL	NN
Two	CARDINAL	CD
San Juan School	ORG	NNP,NNP,NNP
Indian Office	ORG	JJ,NNP
San Juan Agency	ORG	NNP,NNP,NNP
Indians	NORP	NNPS
NaVajo	ORG	NNP
Navajo	NORP	NNP
Navajos	NORP	NNPS
the past year	DATE	DT,JJ,NN
San Juan School	ORG	NNP,NNP,NNP
Indian	NORP	JJ
Toggenberg	ORG	NNP
Toadlena	GPE	NNP
the nekt ten years	DATE	DT,JJ,CD,NNS
Indians	NORP	NNPS
Angora	NORP	NNP
San Juan School	ORG	NNP,NNP,NNP
flin%m%figwfih%	PERCENT	CD,NN
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
Hogan	PERSON	NNP
Last summer	DATE	JJ,NN
two	CARDINAL	CD
two	CARDINAL	CD
one	CARDINAL	CD
Toadlena School	ORG	NNP,NNP
one	CARDINAL	CD
San Juan School	ORG	NNP,NNP,NNP
100,000 feet	QUANTITY	CD,NNS
February	DATE	NNP
March	DATE	NNP
Navajos	NORP	NNPS
Indians	NORP	NNPS
San Juan Agency	GPE	NNP,NNP,NNP
One	CARDINAL	CD
Toadlena	GPE	NNP
Henry Pine	PERSON	NNP,NNP
the Bureau of Animal Industry	ORG	DT,NNP,IN,NNP,NNP
Agency Stockman	PERSON	NNP,NNP
Jensen	PERSON	NNP
last fall	DATE	JJ,NN
November	DATE	NNP
two	CARDINAL	CD
November	DATE	NNP
Stockman Jensen	PERSON	NNP,NNP
Kreso	PERSON	NNP
1	CARDINAL	CD
this fall	DATE	DT,NN
late years	DATE	JJ,NNS
the Bureau of Animal	ORG	DT,NNP,IN,NNP
San Juan	GPE	NNP,NNP
two	CARDINAL	CD
five	CARDINAL	CD
two hundred	CARDINAL	CD,CD
one	CARDINAL	CD
First	ORDINAL	RB
Second	ORDINAL	RB
second	ORDINAL	JJ
NaVajo	ORG	NNP
Miss Gouberg	PERSON	NNP,NNP
the past year	DATE	DT,JJ,NN
ten	CARDINAL	CD
the year	DATE	DT,NN
Ignacio	ORG	NNP
the Mesa School	ORG	DT,NNP,NNP
Toadlena	GPE	NNP
Fort Wingate	FAC	NNP,NNP
Sheepmen	GPE	NNP
San Juan	GPE	NNP,NNP
Jurisdiction	GPE	NNP
San Juan =	GPE	NNP,NNP,NNP
State	ORG	NNP
17	CARDINAL	CD
Indians	NORP	NNPS
Canton	GPE	NNP
18	CARDINAL	CD
School	ORG	NNP
Sanatorium	GPE	NNP
Brick	PERSON	NNP
fiscal year	DATE	JJ,NN
fiscal year	DATE	JJ,NN
fiscal year	DATE	JJ,NN
fiscal year	DATE	JJ,NN
22	CARDINAL	CD
8	CARDINAL	CD
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
Navajo	ORG	NNP
last February	DATE	JJ,NNP
about a week	DATE	RB,DT,NN
Navajos	NORP	NNPS
ten days	DATE	CD,NNS
one	CARDINAL	CD
15%	PERCENT	CD,NN
Indian	NORP	JJ
May	DATE	NNP
Bruce M. Barnard	PERSON	NNP,NNP,NNP
Indians	NORP	NNPS
Agency	ORG	NNP
Farmington	GPE	NNP
Sophus Jansen	PERSON	NNP,NNP
Agency Stockman	PERSON	NNP,NNP
San Juan Agency	ORG	NNP,NNP,NNP
at least	CARDINAL	RB,RBS
One	CARDINAL	CD
the year	DATE	DT,NN
Two	CARDINAL	CD
February	DATE	NNP
IViarch	GPE	NNP
5,505 feet	QUANTITY	CD,NNS
4% to 6%	PERCENT	CD,NN,TO,CD,NN
half	CARDINAL	NN
approximately 60 acres	QUANTITY	RB,CD,NNS
the past ten years	DATE	DT,JJ,CD,NNS
second	ORDINAL	JJ
June	PERSON	NNP
first	ORDINAL	RB
mid-June	DATE	JJ,SYM,NNP
over 4,000 feet	QUANTITY	IN,CD,NNS
5% to 4%	PERCENT	CD,NN,TO,CD,NN
Navajo	NORP	NNP
Ditch	PERSON	NNP
2	CARDINAL	CD
1	CARDINAL	CD
two	CARDINAL	CD
two	CARDINAL	CD
School	ORG	NNP
San Juan Agency	ORG	NNP,NNP,NNP
four	CARDINAL	CD
four hours	TIME	CD,NNS
one	QUANTITY	CD,SP
about three	CARDINAL	IN,CD
a few years	DATE	DT,JJ,NNS
Toadlena	GPE	NNP
Navajos	NORP	NNPS
winter	DATE	NN
two	CARDINAL	CD
Navajo	NORP	NNP
Spring	ORG	NNP
San Juan	GPE	NNP,NNP
this coming winter	DATE	DT,VBG,NN
last winter	DATE	JJ,NN
1924	DATE	CD
Havajos	ORG	NNP
winter	DATE	NN
1925	DATE	CD
34:9	CARDINAL	PDT
San Juan Reservation	GPE	NNP,NNP,NNP
4.. Number of	ORG	CD,NFP,NN,IN
6	CARDINAL	CD
18 years	DATE	CD,NNS
3	CARDINAL	CD
2	CARDINAL	CD
2	CARDINAL	CD
3	CARDINAL	CD
Climbs-Children	PERSON	NNP,HYPH,NNP
Laser-w	PERSON	NNP,HYPH,NNP
2	CARDINAL	CD
5	CARDINAL	CD
Indians	NORP	NNPS
Indians	NORP	NNPS
Apache	ORG	NNP
San Juan	GPE	NNP,NNP
Holstein	PERSON	NNP
Holstein	PERSON	NNP
Durhams	PERSON	NNP
The Holstein Bullecalf	ORG	DT,NNP,NNP
last year	DATE	JJ,NN
Indian School	ORG	JJ,NNP
Last year	DATE	JJ,NN
the year just ending, while	DATE	DT,NN,RB,VBG,,,IN
the Blanket Industry	ORG	DT,NNP,NNP
1925	DATE	CD
four	CARDINAL	CD
a few years ago	DATE	DT,JJ,NNS,RB
two	CARDINAL	CD
One	CARDINAL	CD
three	CARDINAL	CD
Farmer	ORG	NNP
the year	DATE	SP,DT,NN
two	CARDINAL	CD
one	CARDINAL	CD
3	CARDINAL	CD
7	CARDINAL	CD
Indians	NORP	NNPS
9	CARDINAL	LS
10	CARDINAL	CD
9	CARDINAL	CD
Indians	NORP	NNPS
number--	CARDINAL	CD
11	CARDINAL	CD
fiscal year	DATE	JJ,NN
18	MONEY	CD,SP
Females I. Total	PERSON	NNS,NNP,NNP
fiscal year	DATE	JJ,NN
59	CARDINAL	CD
1 2	CARDINAL	CD,CD
5	MONEY	CD
Tix'rs'EJfi'rgfij'fijv	CARDINAL	NNP
"V'yjA'fin)!fiwfigflafigfi'ifi3:1.""31p}{5135Tflfifiw'fl'fflgflgfimfiwgT)fiay'zgpjfi'p;n:nv"	LOC	NNP
San Juan Agency	ORG	NNP,NNP,NNP
75%	PERCENT	CD,NN
Navajo	NORP	JJ
Wool	PERSON	NNP
Navajo	NORP	NNP
Navajos	NORP	NNPS
50¢	CARDINAL	CD
Navajo	NORP	NNP
25¢.	CARDINAL	CD
four	CARDINAL	CD
Bob Bekiss	PERSON	SP,NNP,NNP
eight	QUANTITY	CD
1924	DATE	CD
The Bureau of Animal Industry	ORG	DT,NNP,IN,NNP,NNP
Indians	NORP	NNPS
one	CARDINAL	CD
	CARDINAL	SP
a few years ago	DATE	DT,JJ,NNS,IN
Indians	NORP	NNPS
San Juan	GPE	NNP,NNP
Indian School	ORG	JJ,NNP
