Entity_Orth,Entity_Label,Parts_of_Speech
San Juan Agency,GPE,NNP NNP NNP
Indians,NORP,NNPS
Carpentny,GPE,NNP
Farming,GPE,NNP
Gardning,GPE,NNP
Dairying,GPE,NNP
the Industrial Departments,ORG,DT NNP NNP
the day,DATE,DT NN
Bakery,ORG,NNP
Kitchen,PERSON,NNP
Indians,NORP,NNPS
Indian,NORP,JJ
"this
year",DATE,DT SP NN
W. H. HaShbarger,PERSON,NNP NNP NNP
Indians,NORP,NNPS
Indian,NORP,JJ
___~__§)_,MONEY,CD
Indians,NORP,NNPS
Fines,PERSON,NNP
Indian,NORP,JJ
Indians,NORP,NNPS
_____o.--,MONEY,CD
Fran,PERSON,NNP
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
the year,DATE,DT NN
Indian,NORP,JJ
Sanitarium,ORG,NN
Sanitarium,ORG,NNP
Indians,NORP,NNPS
Indian,NORP,JJ
Indians,NORP,NNPS
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
Physician,ORG,NNP
Navajo,NORP,JJ
Thysiciah,PRODUCT,NNP
Physician,NORP,NNP
Head Matron,PERSON,NNP NNP
Clinesmith,PERSON,NNP
Indian,NORP,JJ
Navajo,NORP,JJ
Navajos,NORP,NNPS
San Juan_Agency,GPE,NNP NNP
Navajo,NORP,NNP
The Midwest Oil 30,ORG,DT NNP NNP CD
Farmington,GPE,NNP
Navajos,ORG,NNP
Mesa,ORG,NNP
Navajos,ORG,NNP
Navajo,NORP,NNP
WhiCh,ORG,NNP
Navajo,NORP,NNP
the Navajo Tribe,ORG,DT NNP NNP
San Juan,GPE,NNP NNP
Indians,NORP,NNPS
San Juan,GPE,NNP NNP
Indians,NORP,NNPS
Indians,NORP,NNPS
State,ORG,NNP
English,LANGUAGE,JJ
Indians,NORP,NNPS
English,LANGUAGE,JJ
San Juan Reservation,GPE,NNP NNP NNP
Headgates -...,PERSON,NNPS HYPH NFP
January,DATE,NNP
February ________ 5,DATE,NNP SYM CD
March ___________,DATE,NNP NN
September,DATE,NNP
October,DATE,NNP
November,DATE,NNP
December,DATE,NNP
Total for year,DATE,JJ IN NN
San Juan Agency,ORG,NNP NNP NNP
San Juan Boarding School,ORG,NNP NNP NNP NNP
the Academic Department,ORG,DT NNP NNP
Altho,PERSON,NNP
This year,DATE,DT NN
March,DATE,NNP
"5,505 feet",QUANTITY,CD NNS
ten years,DATE,CD NNS
June,DATE,NNP
San Juan School,ORG,NNP NNP NNP
San Juan Agency,ORG,NNP NNP NNP
School,ORG,NNP
to—day,DATE,NN
a year ago,DATE,DT NN RB
San Juan,GPE,NNP NNP
101 acres,QUANTITY,SP CD NNS
25 acres,QUANTITY,CD NNS
11 acres,QUANTITY,CD NNS
79 acres,QUANTITY,CD NNS
50 acres,QUANTITY,CD NNS
the past two years,DATE,DT JJ CD NNS
This year,DATE,DT NN
the Mesa School,ORG,DT NNP NNP
the Toadlena School,FAC,DT NNP NNP
40 miles,QUANTITY,CD NNS
Shiprock,GPE,NNP
eight miles,QUANTITY,CD NNS
18 acres,QUANTITY,CD NNS
100 tons,QUANTITY,CD NNS
Indians,NORP,NNPS
the current fiscal year,DATE,DT JJ JJ NN
Indians,NORP,NNPS
Indians,NORP,NNPS
Indian,NORP,NNP
Indians,NORP,NNPS
Juan Agency,PERSON,NNP NNP
Navajo,NORP,NNP
"three
years",DATE,CD SP NNS
Indians,NORP,NNPS
San,NORP,NNP
Sunday,DATE,NNP
ten cents,MONEY,CD NNS
1925,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
one hundred tons,QUANTITY,CD CD NNS
Toadlena,GPE,NNP
Toadlena,FAC,NNP
year,DATE,NN
Frank I. Inloes,PERSON,NNP NNP NNP
"the San Juan Boarding
School",ORG,DT NNP NNP NNP SP NNP
follows:-,PERSON,JJ
a Public School,ORG,DT NNP NNP
past year,DATE,SP JJ NN
Indian,NORP,JJ
Indian,NORP,JJ
San Juan,GPE,NNP NNP
San Juan State,GPE,NNP NNP NNP
14-00,DATE,CD SYM CD
the current fiscal year,DATE,DT JJ JJ NN
Indian,NORP,JJ
under 8 years old,DATE,IN CD NNS JJ
San Juan Agency,ORG,NNP NNP NNP
Indians,NORP,NNPS
Havajos,PERSON,NNP
Indians,NORP,NNPS
"James
D. Kennedy",PERSON,NNP SP NNP NNP
Havajos,PERSON,NNP
the year,DATE,DT NN
the year 1924-25,DATE,DT NN CD SYM CD
Indian,NORP,JJ
year to year,DATE,NN IN NN
Indian,NORP,JJ
many years,DATE,JJ NNS
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
White Arsenic,ORG,NNP NNP
Lemons,PERSON,NNP
Indians,NORP,NNPS
Indians,NORP,NNPS
Bruce M. Barnard,PERSON,NNP NNP NNP
ten-acre,QUANTITY,CD HYPH NN
last fall,DATE,JJ NN
Indians,NORP,NNPS
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
Stockman Jensen,PERSON,NNP NNP
H. E. Pine,PERSON,NNP NNP NNP
Aztec,NORP,NNP
H. M. for the present,PERSON,NNP NNP IN DT JJ
Particularyy,PERSON,NNP
Jensen,PERSON,NNP
December,DATE,NNP
January,DATE,NNP
the last day,DATE,DT JJ NN
the year,DATE,DT NN
years,DATE,NNS
years,DATE,NNS
Indians,NORP,NNPS
Hereford,GPE,NNP
five and six year old,DATE,CD CC CD NN JJ
fiscal year,DATE,JJ NN
San Juan,GPE,NNP NNP
Robert,PERSON,NNP
Wilmer,PERSON,NNP
Scott,PERSON,NNP
"William "" ' "" ""
Sells",PERSON,NNP `` '' '' '' SP NNP
Marshall,PERSON,NNP
Singer,ORG,NNP
"Lawrence "" "" """,PERSON,NNP `` '' ''
Tsosi,ORG,NNP
"Mark "" "" ""
White",PERSON,NNP `` '' '' SP NNP
Enderson,WORK_OF_ART,SP NNP
Atsonebah,PERSON,NNP
Bitsui,PERSON,NNP
Barberetcilly,PERSON,NNP
Kathleen,PERSON,NNP
Blyis,PERSON,NNP
Pearl,LOC,NNP
Charles,PERSON,NNP
Ethel,PERSON,NNP
Cudai,PERSON,NNP
"Laura "" - "" ""
Daholtah",PERSON,NNP '' : '' '' SP NNP
"Katherine "" "" ""
Dealbenally",PERSON,NNP `` '' '' SP NNP
Flora,PERSON,NNP
Deschene,PERSON,NNP
"Louise "" "" ""
Dewdrop",PERSON,NNP `` '' '' SP NNP
"Sarah "" "" """,PERSON,NNP `` '' ''
Enospah,PERSON,NNP
"Martha "" ~ "" ""
Enospah",PERSON,NNP `` NNP '' `` SP NNP
Minnie,PERSON,NNP
Hototles,PERSON,NNP
Lenao,PERSON,NNP
Henty,PERSON,NNP
"Mary L u "" "" ""
Hobson",PERSON,NNP NNP NNP '' '' '' SP NNP
Amy 0,PERSON,NNP CD
Eva,PERSON,NNP
Hutton,PERSON,NNP
"Catherine "" ""' """,PERSON,NNP `` `` '' ''
"Joe,",WORK_OF_ART,"SP NNP ,"
"Maggie "" "" ""
Kedah",PERSON,NNP `` '' '' SP NNP
Jesse,PERSON,NNP
Larson,PERSON,NNP
"Thelma "" W """,PERSON,NNP `` NNP '' SP
Lonehln,PERSON,NNP
Winona,PERSON,NNP
"Mable "" W _ """,PERSON,NNP `` NNP '' ''
Nakiyazzie,ORG,NNP
"Doris "" "" ""
Marohene",PERSON,NNP `` '' '' SP NNP
"Gene "" "" ""
Nakaibega",PERSON,NNP `` '' '' SP NNP
Dorris,PERSON,NNP
Armada,ORG,NNP
Dora,PERSON,NNP
Agnes,PERSON,NNP
Todoohene,PERSON,NNP
Lillie,PERSON,NNP
Nellie,PERSON,NNP
Wadsworth,PERSON,NNP
Margarete,PERSON,NNP
Wilson,ORG,NNP
"Janet "" "" ""
Yellowhead",PERSON,NNP `` '' '' SP NNP
Myra,PERSON,NNP
Yethdexbah,PERSON,NNP
Vera,PERSON,NNP
"9
Canada Mission School",WORK_OF_ART,CD SP NNP NNP NNP
Morris Navajo,PERSON,NNP NNP
San Juan,GPE,NNP NNP
"Max "" "" ""
King",PERSON,NNP `` '' '' SP NNP
"Jerome "" "" """,PERSON,NNP `` '' '' SP
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
Navajos,NORP,NNPS
at least another,DATE,RB RBS DT
Indians,NORP,NNPS
Navajo,NORP,NNP
San Juan Agency,ORG,NNP NNP NNP
Last year,DATE,JJ NN
last year,DATE,JJ NN
Observer,ORG,NNP
San Juan,GPE,NNP NNP
Indian Office,ORG,JJ NNP
San Juan Agency,ORG,NNP NNP NNP
Indians,NORP,NNPS
NaVajo,ORG,NNP
Navajo,NORP,NNP
Navajos,NORP,NNPS
the past year,DATE,DT JJ NN
Indian,NORP,JJ
Toggenberg,ORG,NNP
the Toadlena Schbbl,FAC,DT NNP NNP
Indians,NORP,NNPS
Angora,NORP,NNP
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
Hogan,PERSON,NNP
Last summer,DATE,JJ NN
the Toadlena School,ORG,DT NNP NNP
"100,000 feet",QUANTITY,CD NNS
February,DATE,NNP
March,DATE,NNP
Navajos,NORP,NNPS
Indians,NORP,NNPS
San Juan Agency,GPE,NNP NNP NNP
Toadlena,GPE,NNP
Henry Pine,PERSON,NNP NNP
the Bureau of Animal Industry,ORG,DT NNP IN NNP NNP
Agency Stockman,PERSON,NNP NNP
Jensen,PERSON,NNP
last fall,DATE,JJ NN
November,DATE,NNP
November,DATE,NNP
Stockman Jensen,PERSON,NNP NNP
Kreso,PERSON,NNP
this fall,DATE,DT NN
late years,DATE,JJ NNS
the Bureau of Animal,ORG,DT NNP IN NNP
San Juan,GPE,NNP NNP
NaVajo,ORG,NNP
Miss Gouberg,PERSON,NNP NNP
the past year,DATE,DT JJ NN
the year,DATE,DT NN
Ignacio,ORG,NNP
the Mesa School,ORG,DT NNP NNP
Toadlena,GPE,NNP
Fort Wingate,FAC,NNP NNP
Sheepmen,GPE,NNP
San Juan,GPE,NNP NNP
Jurisdiction,GPE,NNP
San Juan =,GPE,NNP NNP NNP
State,ORG,NNP
Indians,NORP,NNPS
Canton,GPE,NNP
School,ORG,NNP
Sanatorium,GPE,NNP
Brick,PERSON,NNP
fiscal year,DATE,JJ NN
fiscal year,DATE,JJ NN
fiscal year,DATE,JJ NN
fiscal year,DATE,JJ NN
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
Navajo,ORG,NNP
last February,DATE,JJ NNP
about a week,DATE,RB DT NN
Navajos,NORP,NNPS
ten days,DATE,CD NNS
Indian,NORP,JJ
May,DATE,NNP
Bruce M. Barnard,PERSON,NNP NNP NNP
Indians,NORP,NNPS
Agency,ORG,NNP
Farmington,GPE,NNP
Sophus Jansen,PERSON,NNP NNP
Agency Stockman,PERSON,NNP NNP
San Juan Agency,ORG,NNP NNP NNP
the year,DATE,DT NN
February,DATE,NNP
IViarch,GPE,NNP
"5,505 feet",QUANTITY,CD NNS
approximately 60 acres,QUANTITY,RB CD NNS
the past ten years,DATE,DT JJ CD NNS
June,PERSON,NNP
mid-June,DATE,JJ SYM NNP
"over 4,000 feet",QUANTITY,IN CD NNS
Navajo,NORP,NNP
Ditch,PERSON,NNP
School,ORG,NNP
San Juan Agency,ORG,NNP NNP NNP
one,QUANTITY,CD SP
a few years,DATE,DT JJ NNS
Toadlena,GPE,NNP
Navajos,NORP,NNPS
winter,DATE,NN
Navajo,NORP,NNP
Spring,ORG,NNP
San Juan,GPE,NNP NNP
this coming winter,DATE,DT VBG NN
last winter,DATE,JJ NN
1924,DATE,CD
Havajos,ORG,NNP
winter,DATE,NN
1925,DATE,CD
San Juan Reservation,GPE,NNP NNP NNP
4.. Number of,ORG,CD NFP NN IN
18 years,DATE,CD NNS
Climbs-Children,PERSON,NNP HYPH NNP
Laser-w,PERSON,NNP HYPH NNP
Indians,NORP,NNPS
Indians,NORP,NNPS
Apache,ORG,NNP
San Juan,GPE,NNP NNP
Holstein,PERSON,NNP
Holstein,PERSON,NNP
Durhams,PERSON,NNP
The Holstein Bullecalf,ORG,DT NNP NNP
last year,DATE,JJ NN
Indian School,ORG,JJ NNP
Last year,DATE,JJ NN
"the year just ending, while",DATE,"DT NN RB VBG , IN"
the Blanket Industry,ORG,DT NNP NNP
1925,DATE,CD
a few years ago,DATE,DT JJ NNS RB
Farmer,ORG,NNP
the year,DATE,SP DT NN
Indians,NORP,NNPS
Indians,NORP,NNPS
fiscal year,DATE,JJ NN
Females I. Total,PERSON,NNS NNP NNP
fiscal year,DATE,JJ NN
"V'yjA'fin)!fiwfigflafigfi'ifi3:1.""31p}{5135Tflfifiw'fl'fflgflgfimfiwgT)fiay'zgpjfi'p;n:nv",LOC,NNP
San Juan Agency,ORG,NNP NNP NNP
Navajo,NORP,JJ
Wool,PERSON,NNP
Navajo,NORP,NNP
Navajos,NORP,NNPS
Navajo,NORP,NNP
Bob Bekiss,PERSON,SP NNP NNP
eight,QUANTITY,CD
1924,DATE,CD
The Bureau of Animal Industry,ORG,DT NNP IN NNP NNP
Indians,NORP,NNPS
a few years ago,DATE,DT JJ NNS IN
Indians,NORP,NNPS
San Juan,GPE,NNP NNP
Indian School,ORG,JJ NNP
San Juan Reservation,GPE,NNP NNP NNP
Noncontract boarding-—,PERSON,NNP NNP
Nonreservation,GPE,NNP
fiscal year,DATE,JJ NN
Anderson,PERSON,NNP
Lois Navajo,PERSON,NNP NNP
San Juan,GPE,NNP NNP
"Nora "" '"" "" ""
Duncan",PERSON,NNP `` '' '' '' '' SP NNP
Deneteue,PERSON,NNP
Amadore,PERSON,NNP
Jackson,PERSON,NNP
"Mary Louise """,PERSON,NNP NNP ''
Janis,PERSON,NNP
Jane,PERSON,NNP
Miller,WORK_OF_ART,SP NNP
Sannah,PERSON,NNP
Cahe,PERSON,NNP
Sebah,PERSON,NNP
"Helen "" "" """,PERSON,NNP `` '' ''
Tawk,PERSON,NNP
Dorothy,PERSON,NNP
Tilcheew Emma,WORK_OF_ART,SP NNP NNP
Usohin,GPE,NNP
Opal,GPE,NNP
Uschin,GPE,NNP
"Bessie "" "" ""
Woods",PERSON,NNP `` '' '' SP NNP
Irene,PERSON,NNP
Yanapah,PERSON,NNP
UlthneZ,PERSON,NNP
Apache Indian School,ORG,NNP NNP NNP
Asa Navajo,PERSON,NNP NNP
San Juan,GPE,NNP NNP
"Benjamin "" n",PERSON,NNP `` LS
Benally,PERSON,NNP
"Barnard "" Iv",PERSON,NNP `` NNP
Benally,PERSON,NNP
Walter,PERSON,NNP
"Jim """,PERSON,NNP ''
Leonard,PERSON,NNP
"Scott """,PERSON,NNP ``
"Dan "" II",PERSON,NNP `` NNP
Burbank,GPE,NNP
"Clifford """,PERSON,NNP ``
Burbank,GPE,NNP
Clah,ORG,NNP
"John "" n n",PERSON,NNP `` CC XX
Deschene,GPE,NNP
Garfield,GPE,NNP
Diewood,PERSON,NNP
Woody,PERSON,NNP
Eske,PERSON,NNP
Byron,PERSON,NNP
Guy,PERSON,NNP
Donald,PERSON,NNP
Kbeswood,PERSON,NNP
"James "" n n",PERSON,NNP `` CC XX
Everett,PERSON,NNP
"Eldon """,PERSON,NNP ``
Lansing,GPE,NNP
"Herbert "" u",PERSON,NNP `` XX
Myresea,PERSON,NNP
"Clyde "" W W",PERSON,NNP `` NNP NNP
Moffitt,PERSON,NNP
Thomae W,ORG,NNP NNP
Dennison,ORG,NNP
"Eugene "" L a",PERSON,NNP `` NNP NNP
Leonard,PERSON,NNP SP
San Juan,GPE,NNP NNP
San Juan,GPE,NNP NNP
Indian,NORP,JJ
Post Office,ORG,NNP NNP
Tribe,PERSON,NNP
State,ORG,NNP
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
Farmers,ORG,NNP
Aneth,GPE,NNP
Utah,GPE,NNP
55 miles,QUANTITY,CD NNS
Agency Headquarters,WORK_OF_ART,NNP NNPS
Tocito,GPE,NNP
29 miles,QUANTITY,CD NNS
Ford,ORG,NNP
Aneth,ORG,NNP
Toadlena,ORG,NNP
the year,DATE,DT NN
Indians,NORP,NNPS
this year,DATE,DT NN
Indians,NORP,NNPS
Juan Indian School,ORG,NNP NNP NNP
Distributiou,PERSON,NNP
"Teadl—em-«éo $_-__1.00,00",MONEY,$ $ CD
"21,000.09",MONEY,CD
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
fiscal year,DATE,SP JJ NN
Koho,PERSON,NNP
James Nave o,PERSON,NNP NNP NNP
Keetso,PERSON,NNP
Hubert fl,PERSON,NNP NNP
"Harvey "" n",PERSON,NNP `` CC
Mikeboy,PERSON,NNP
"Richard ""h n",PERSON,NNP `` NN RB
"Louis """,PERSON,NNP ``
Natonibega,PERSON,NNP
Peter,PERSON,NNP
Nataebega,PERSON,NNP
Carl,PERSON,NNP
"Natoniahahlozbega,01yde W",ORG,NNP NNP
Shoemaker,PERSON,NNP
Wallace,PERSON,NNP
Smith,PERSON,NNP
Frank,PERSON,NNP
Yazzie,PERSON,NNP
Freed,PERSON,NNP
Yazzie,ORG,NNP
"Harry "" n",PERSON,NNP `` CC
Yazzie,PERSON,NNP
Roy,PERSON,NNP
Denetolaw,PERSON,NNP
Theodore W,PERSON,NNP NNP
Belonebega,PERSON,NNP
Baehabage,PERSON,NNP
Ruby,PRODUCT,NNP
Begay,PERSON,NNP
Bessie,PERSON,NNP
Begay,PERSON,NNP
Elsie,PERSON,NNP
Benai,PERSON,NNP
Bertha,PERSON,NNP
Benair,PERSON,NNP
Grace,PERSON,NNP
Curley,ORG,NNP
"Louise """,PERSON,NNP ``
Dixon,PERSON,NNP
"Jesse """,PERSON,NNP ``
Desea,PERSON,NNP
"May """,DATE,NNP ''
Frank,PERSON,NNP
Ruth,PERSON,NNP
Nospah,ORG,NNP
Hashebegay,PERSON,NNP
Hopahanteoei,PERSON,NNP
Lucy,PERSON,NNP
"Mary "" I!",PERSON,NNP `` PRP .
Illthypah,GPE,NNP
Ada,GPE,NNP
Blanche,ORG,NNP
Keenapah,PERSON,NNP
"Ellen "" u",PERSON,NNP `` NN
Kbenapah,PERSON,NNP
Nona,PERSON,NNP
Kattie,PERSON,NNP
"Rita "" n ""
Manulito",PERSON,NNP `` CC '' SP NNP
Harriett,ORG,NNP
Mable,FAC,NNP
Mullett,PERSON,NNP
Mable,PERSON,NNP
Nakadine,PERSON,NNP
"Nellie "" l",PERSON,NNP `` NN
San Juan,GPE,NNP NNP
Opal u,GPE,NNP NNP
Beulah,PERSON,NNP
Carrie,PERSON,NNP
Kate,PERSON,NNP
San Juan,GPE,NNP NNP
Indians,NORP,NNPS
Indians,NORP,NNPS
Indian,NORP,JJ
Value of,ORG,NN IN
Indian,NORP,JJ
_____________,MONEY,NFP
Indians,NORP,NNPS
Indians,NORP,NNPS
Unallotted Indians,NORP,NNP NNPS
Indians,NORP,NNPS
Indians,NORP,NNPS
Unallotted Indians,NORP,NNP NNPS
Juan Agency,PERSON,NNP NNP
Indian,NORP,JJ
Affiairs,PERSON,NNP
Nonreservation Schools,GPE,NNP NNP
fiscal year,DATE,JJ NN
Theodore,PERSON,NNP
Edna Navajo Gan Juan,PERSON,NNP NNP NNP NNP
"Alma "" "" """,PERSON,NNP `` '' ''
Yazzie,PERSON,NNP
Yazzie,PERSON,NNP
"Lucille "" "" ""
Yazzie",PERSON,NNP `` '' '' SP NNP
"Harriett "" "" ""

Sherman Institute—Riverside",PERSON,NNP `` '' '' SP NNP NNP
California,GPE,NNP
Arthur,PERSON,NNP
Harry Navajo ' San ',PERSON,NNP NNP `` NNP ''
"Harry "" "" ' ""
Ball George",PERSON,NNP `` `` '' '' SP NNP NNP
Barton,PERSON,NNP
Stewart,PERSON,NNP
Begaym Frances ',PERSON,NNP NNP POS
Begay,PERSON,NNP
Sam Capitan,PERSON,NNP NNP
"Homer "" '",PERSON,NNP `` ''
Benally,PERSON,NNP
"Edward "" "" ""
Charles",PERSON,NNP `` '' '' SP NNP
Richard,PERSON,NNP
Charley,PERSON,NNP
Richard,PERSON,NNP
Charley,PERSON,NNP
Schuler,PERSON,NNP
Chase,ORG,NNP
"Leonard "" "" ""
Coggeehall",PERSON,NNP `` '' '' SP NNP
"Harold "" "" ""
Craig",PERSON,NNP `` '' '' SP NNP
"Hugh """,PERSON,NNP ''
"Vincent "" "" """,PERSON,NNP `` '' ''
Dugahe,WORK_OF_ART,SP NNP
Dugai,PERSON,NNP
"Calvin "" "" ""
Deschene",PERSON,NNP `` '' '' SP NNP
"Fred "" _ "" ""
Fulton",PERSON,NNP `` : '' `` SP NNP
"Robert "" "" ""
Gouldm Ghee '",PERSON,NNP '' '' `` SP NNP NNP POS
"Samuel "" "" ""
Hadethechattle",PERSON,NNP `` '' '' SP NNP
"George "" "" ""
Hobson",PERSON,NNP `` '' '' SP NNP
"Richard "" "" ""
Hoeka",PERSON,NNP `` '' '' SP NNP
"Julia "" "" ""
Johson",PERSON,NNP `` '' '' SP NNP
Jordon,PERSON,NNP
